DATAFLOW,LAST UPDATE,freq,age,agedef,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,ES,2016,147505,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,ES,2017,167855,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,ES,2018,142389,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,ES,2019,137172,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,ES,2020,114938,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,ES,2021,174713,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2001,6901,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2002,6556,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2003,6256,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2004,6815,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2005,6331,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2006,6071,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2007,6228,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2008,6663,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2009,5891,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2010,6052,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2011,6369,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2012,7003,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2013,7037,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2014,7722,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2015,8212,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2016,9176,
ESTAT:MIGR_EMI2(1.0),29/03/23 23:00:00,A,TOTAL,REACH,NR,F,FI,2017,8814,
