DATAFLOW,LAST UPDATE,freq,age,agedef,citizen,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2014,13742,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2015,15315,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2016,32809,b
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2017,29993,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2018,32372,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2019,33479,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2020,27754,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,EL,2021,10743,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2001,183461,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2002,210371,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2004,291122,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2005,312149,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2006,379974,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2007,418366,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2008,272966,b
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2009,187013,
ESTAT:MIGR_IMM2CTZ(1.0),29/03/23 23:00:00,A,TOTAL,REACH,FOR_STLS,NR,F,ES,2010,168790,
